level,notation,prefLabel,scopeNote
3,06.55,Conservering en restauratie,"Hierbij: publicaties over conservering en preservering van alle informatiedragers, van handschrift tot cd-rom; Verwijzing: voor conservering en restauratie van kunstvoorwerpen, zie: 20.15 (kunstwetenschappen; restaureren, conserveren, vervalsen)"
3,06.59,Bibliotheekbeheer: overige,
2,06.60,"Bibliotheekgebruik, informatievoorziening",Verwijzing: voor informatica zie: 54 (informatica); Hierbij: gebruikersonderzoek
2,06.64,Information storage en retrieval,"Hierbij: online literatuuronderzoek, cd-rom, databestanden; Verwijzing: voor vakinhoudelijke aspecten van Internet, zie de betreffende rubrieken; Verwijzing: voor beheersmatige aspecten van Internet, zie: 06.50 (bibliotheekbeheer: algemeen) en volgende; Verwijzing: voor algemene, technische aspecten, zie: 54.32 (informatica; computernetwerken)"
2,06.70,Ontsluiting: algemeen,"Hierbij: catalogusapparaat, geautomatiseerde ontsluiting"
3,06.71,Formele ontsluiting,"Hierbij: titelbeschrijving, bibliografische controle"
3,06.72,Onderwerpsontsluiting,
3,06.79,Ontsluiting: overige,
2,06.80,Bibliotheekcatalogi,"Verwijzing: voor bibliotheekcatalogi met een bibliografisch karakter, zie: 01.14 (algemene werken; nationale bibliografieën, regionale bibliografieën); Verwijzing: voor bibliotheekcatalogi over een bepaald onderwerp, zie de betreffende rubriek; Verwijzing: voor catalogi van particuliere bibliotheken, zie: 06.27 (bibliofilie, bibliotheken van particulieren)"
2,06.89,"Bibliotheekwezen, documentatiewezen: overige",
1,06.90,"Archieven, archivistiek","Is: 15.24 (geschiedenis;  archivistiek); Hierbij: algemene archiefinventarissen; Verwijzing: voor archiefwetenschap in het algemeen, zie: 06.00 (documentaire informatie); Verwijzing: voor archieven en inventarissen die betrekking hebben op afzonderlijke vakgebieden, zie de betreffende vakgebieden; Verwijzing: voor geschiedenis van de archiefwetenschap, zie: 06.04 (geschiedenis van de archiefwetenschap)"
1,06.99,Documentaire informatie: overige,
0,08.00,Filosofie: algemeen,"Hierbij: humanisme als hedendaagse stroming; Toelichting: filosofie van vakgebieden die niet expliciet in dit schema zijn vermeld, vindt men onder de betreffende vakgebieden"
1,08.03,Filosofie en methode van de filosofie,Hierbij: metafilosofie
1,08.04,"Onderwijs, beroepsuitoefening, organisaties",
1,08.10,Niet-westerse filosofie,"Hierbij: stromingen van de niet-westerse filosofie, vergelijkende filosofie"
1,08.20,Geschiedenis van de westerse filosofie: algemeen,Hierbij: filosofische stromingen door de eeuwen heen
2,08.21,"Griekse oudheid, Romeinse oudheid","Hierbij: filosofische stromingen uit de klassieke oudheid, patristische filosofie"
2,08.22,Middeleeuwse filosofie,"Hierbij: filosofische stromingen uit de middeleeuwen, Byzantijnse filosofie"
2,08.23,Renaissancefilosofie,"Hierbij: filosofische stromingen uit de renaissance, 15e en 16e eeuw"
2,08.24,"Nieuwe westerse filosofie (17e, 18e en 19e eeuw)",
2,08.25,Contemporaine westerse filosofie (20 en 21e eeuw),Hierbij: publicaties over fenomenologie of existentialisme als stroming
1,08.30,Systematiek van de filosofie: algemeen,"Hierbij: alleen zeer breed opgezette, algemene werken"
2,08.31,Metafysica,Hierbij: ontologie
2,08.32,Kentheorie,"Verwijzing: voor kennissociologie, zie: 02.12 (wetenschap en cultuur in het algemeen; kennissociologie)"
2,08.33,"Logica, argumentatieleer","Verwijzing: voor mathematische logica, zie: 31.10 (wiskunde; logica, verzamelingsleer)"
2,08.34,Taalfilosofie,Is: 17.11 (algemene taal- en literatuurwetenschap;  taalfilosofie)
2,08.35,Wetenschapsfilosofie,"Is: 02.02 (wetenschap en cultuur in het algemeen; filosofie en theorie der wetenschap); Hierbij: algemene semiotiek; Verwijzing: voor semiotiek van afzonderlijke wetenschapsgebieden, zie de betreffende vakgebieden"
2,08.36,"Filosofische antropologie, filosofische psychologie",
2,08.37,Godsdienstfilosofie,"Is: 11.02 (theologie, godsdienstwetenschappen; godsdienstfilosofie)"
2,08.38,Ethiek,"Verwijzing: voor ethiek van afzonderlijke vakgebieden, zie de rubriek 'filosofie' van de betreffende vakgebieden"
2,08.40,Rechtsfilosofie,Is: 86.04 (recht; rechtsfilosofie)
2,08.41,Esthetica,"Verwijzing: voor filosofie van de kunst, zie: 20.06 (kunstwetenschappen; filosofie van de kunst)"
2,08.42,Cultuurfilosofie,"Verwijzing: voor filosofie van de techniek, zie: 50.12 (technische wetenschappen in het algemeen; filosofie van de techniek)"
2,08.43,Geschiedfilosofie,Toelichting: filosofie en theorie van de geschiedenis; Is: 15.02 (geschiedenis; filosofie en theorie van de geschiedwetenschap)
2,08.44,Sociale filosofie,"Is: 70.08 (sociale wetenschappen in het algemeen; sociale filosofie); Verwijzing: voor filosofie van het economisch denken, zie: 83.01 (economie; geschiedenis en filosofie van het economisch denken)"
2,08.45,Politieke filosofie,Is: 89.06 (politicologie; politieke filosofie)
2,08.46,Natuurfilosofie,
2,08.47,Esoterische filosofie,"Hierbij: theosofie, antroposofie, vrijmetselarij"
2,08.49,Systematiek van de filosofie: overige,
1,08.99,Filosofie: overige,
0,10.00,Geesteswetenschappen: algemeen,Toelichting: humaniora in het algemeen
1,10.01,Geschiedenis van de geesteswetenschappen,
1,10.02,Filosofie en theorie van de geesteswetenschappen,"Hierbij: methodologie, systematiek"
1,10.03,"Methoden, technieken en organisatie van geesteswetenschappelijk onderzoek",
1,10.04,"Onderwijs, beroepsuitoefening, organisaties",
1,10.10,Multidisciplinaire interessegebieden,
1,10.99,Geesteswetenschappen: overige,
0,11.00,Theologie en godsdienstwetenschap: algemeen,
1,11.01,Systematische godsdienstwetenschap: algemeen,Hierbij: vergelijkende godsdienstwetenschap in het algemeen
2,11.02,Godsdienstfilosofie,Is: 08.37 (filosofie; godsdienstfilosofie)
2,11.04,"Onderwijs, beroepsuitoefening, organisaties",
2,11.05,Godsdienstsociologie,
2,11.06,Godsdienstpsychologie,
2,11.07,Relaties tussen godsdiensten,"Verwijzing: voor verhouding tussen jodendom en christendom, zie: 11.27 (verhouding jodendom-christendom)"
2,11.08,Niet-godsdienstigheid,Hierbij: atheïsme
2,11.09,Systematische godsdienstwetenschap: overige,Hierbij: afzonderlijke onderwerpen van de vergelijkende godsdienstwetenschap
1,11.10,Antieke godsdiensten: algemeen,
2,11.11,Egyptische godsdienst,
2,11.12,Mesopotamische godsdiensten,
2,11.13,Kanaänitische godsdienst,
2,11.14,Perzische godsdienst,
2,11.15,Griekse godsdienst,
2,11.17,Romeinse godsdienst,
2,11.18,Uitheemse godsdiensten en culten in het Romeinse Rijk,
2,11.19,Antieke godsdiensten: overige,
1,11.20,Jodendom: algemeen,"Verwijzing: voor apocriefen en pseudepigrafen, zie: 11.37 (apocriefen, pseudepigrafen); Verwijzing: voor de godsdienst van Israël vóór de Babylonische ballingschap en de (Hebreeuwse) bijbel, zie: 11.30-11.43"
2,11.21,Joodse godsdienstige literatuur,"Hierbij: literatuur van het vroege jodendom, rabbijnse literatuur (Misjna, Talmoed, Midrasj en Haggada) en Halachische literatuur, inclusief joodse ethiek; stichtelijke literatuur"
2,11.23,Praktische theologie van het jodendom,"Toelichting: feesten, riten en gebruiken; liturgie, homiletiek, preken; pastoraat"
2,11.24,Joodse theologie en filosofie,Verwijzing: zie voor joodse ethiek 11.21 (joodse godsdienstige literatuur)Verwijzing: zie voor joodse ethiek 11.21 (joodse godsdienstige literatuur)
2,11.25,Joodse mystiek: kabbala,
2,11.26,Stromingen binnen het jodendom,Hierbij: geschriften van de stromingen (b.v. Dode-Zeerollen)
2,11.27,Verhouding jodendom-christendom,"Verwijzing: verhouding jodendom tot andere godsdiensten, zie: 11.07 (relaties tussen godsdiensten)"
2,11.29,Jodendom: overige,
1,11.30,Bijbel: algemeen,
