level,notation,prefLabel,scopeNote,note
2,JX(63)-(191),Collections. Documents. Cases,,
2,JX(220)-(1195),"Collections, cases, etc. By country",,
2,JX(1261)-(1283),Codification of international law,,
2,JX(1305)-(1598),Foreign relations,,
2,JX(1621)-(1896),Diplomacy,,
2,JX(1901)-(1995),"International arbitration, organization, etc.",,
2,JX(2001)-(6650),International law,,
1,JZ5-6530,International relations,,
2,JZ5.5-18,Periodicals,,
2,JZ24-38,"Societies, associations, academies, institutes, etc., for the study of international relations",,
2,JZ63-1153,Sources,,
3,JZ221-1153,By region or country,,
2,JZ1249-1254,Relation to other disciplines and topics,,
2,JZ1305-2060,Scope of international relations. Political theory. Diplomacy,,
3,JZ1329.5-1395,By period,,
3,JZ1400-1454,Diplomatic and consular service,,
3,JZ1464-2060,"Scope of international relations with regard to countries, territories, regions, etc.",,
2,JZ3674-3875,State territory and its parts,,
3,JZ3685,Boundaries,,
3,JZ3686-3875,International waters,,
2,JZ4835-5490,International organizations and associations,,
3,JZ4841-4848,Political non-governmental organizations. NGOs,,
3,JZ4850-5490,Intergovernmental organizations. IGOs,,
4,JZ4853-4934,League of Nations,,
4,JZ4935-5160,United Nations,,
2,JZ5511.2-6300,Promotion of peace. Peaceful change,,
3,JZ5514-5526,"Societies, associations, academies, institutes, etc., for peace promotion, research and education",,
3,JZ5527-5532,Congresses and conferences,,
3,JZ5587-6009,International security. Disarmament. Global survival,,
3,JZ6010-6060,Pacific settlement of international disputes,,
2,JZ6360-6377,Non-military coercion,,
2,JZ6385-6405,The armed conflict. War and order,,
2,JZ6422-6422.5,Neutrality. Non-participation in wars. Norms of neutrality,,
2,JZ6530,Humanitarian aspects of war,,
0,K,LAW,,
1,K1-7720,Law in general. Comparative and uniform law. Jurisprudence,,
2,K1-36.5,Periodicals,,
2,K37-44,Bibliography,,
2,K46,Monographic series,,
2,K48,Encyclopedias,,
2,K50-54,Dictionaries. Words and phrases,,
2,K58,Maxims. Quotations,,
2,K(64),Yearbooks,,
2,K68-70,Directories,,
2,K85-89,Legal research,,
2,K94,Legal composition and draftsmanship,,
2,K100-103,Legal education,,
2,K109-110,Law societies. International bar associations,,
2,K115-130,The legal profession,,
2,K133,Legal aid. Legal assistance to the poor,,
2,K140-165,History of law,,
2,K170,Biography,,
2,K(175),Congresses,,
2,K(176)-(177),Collected works (nonserial),,
2,K(179),"Addresses, essays, lectures",,
2,K181-184.7,Miscellany,,
2,K190-195,Ethnological jurisprudence. Primitive law,,
2,K201-487,Jurisprudence. Philosophy and theory of law,,
3,K202,Periodicals,,
3,K212-213,Methodology,,
3,K215-218,History,,
3,K236,Universality and non-universality of law,,
3,K237-264,The concept of law,,
3,K270-274,Acts and events,,
3,K280-286,Sources of law,,
3,K288-296,Interpretation and construction of law. Lacunae in law,,
3,K300-304,Classification of law. Typology,,
3,K321-474,Schools of legal theory,,
4,K325-328,Historical jurisprudence,,
4,K330-344,Positivism,,
4,K366-380,Sociology of law. Sociological jurisprudence,,
4,K400-474,Natural law,,
3,K486-487,Relation of law to other topics,,
2,K(520)-5582,Comparative law. International uniform law,,
3,K524-525,Treaties and other international agreements,,
3,K540-546,Trials,,
3,K578-579,Concepts applying to several branches of law,,
3,K583-(591),Legal systems compared,,
3,K592-597,Regional divisions. Interregional comparative law,,
3,K600-615,Private law,,
4,K605-615,Unification,,
3,K623-968,Civil law,,
4,K625-709,Persons,,
4,K670-709,Domestic relations. Family law,,
4,K720-792,Property,,
4,K795-798,Trusts and trustees,,
4,K805-821,Succession upon death,,
4,K830-968,Obligations,,
5,K840-917,Contracts,,
5,K920,Restitution. Quasi contracts. Unjust enrichment,,
5,K923-968,Torts,,
3,K970,Compensation to victims of crime. Reparation,,
3,K1000-1395,Commercial law,,
4,K1010-1014,The merchant. Business enterprises,,
4,K1021-1022,Commercial agency,,
4,K1024-1132,Commercial contracts,,
5,K1026-1045,Sale of goods,,
5,K1054-1065.5,Negotiable instruments,,
5,K1066-1089,Banking,,
5,K1094-1096,Loan of money,,
5,K1100-1109,Secured transactions,,
5,K1112-1116,Investments,,
5,K1130-1132,Carriage of goods and passengers. Carriers,,
4,K1150-1231,Maritime law,,
5,K1195-1223,Maritime social legislation,,
5,K1226-1231,Marine insurance,,
4,K1241-1287,Insurance,,
4,K1301-1366,Business associations,,
4,K1370-1395,Insolvency and bankruptcy. Creditors' rights,,
3,K1401-1578,Intellectual property,,
4,K1411-1485,Copyright,,
4,K1500-1578,Industrial property,,
3,K1700-1973,Social legislation,,
4,K1701-1841,Labor law,,
4,K1861-1929,Social insurance,,
4,K1960-1973,Public welfare. Public assistance,,
3,K2100-2385,Courts. Procedure,,
4,K2110-2155,Court organization and procedure,,
4,K2201-2385,Civil procedure,,
3,K2390,Negotiated settlement. Compromise,,
3,K2400-2405,Arbitration and award,,
3,K3150,Public law,,
3,K3154-3370,Constitutional law,,
4,K3161,Constitutional history,,
4,K3169,The state,,
4,K3171-3179,Constitutional principles,,
4,K3184-3188,Form and structure of government,,
4,K3195,National territory,,
4,K3201,Foreign relations administration,,
4,K3220,Public policy,,
4,K3224-3278,Individual and state,,
4,K3280-3282,Church and state,,
4,K3289-3367,Organs of government,,
5,K3290-3304,The people. Election law,,
5,K3310-3329,The legislature,,
5,K3332-3363,Heads of state and the central government,,
5,K3367,The judiciary,,
4,K3370,Constitutional courts and procedure,,
3,K3375,Colonial law,,
3,K3400-3431,Administrative law,,
4,K3402-3417,The administrative process,,
4,K3420-3431,Administrative organization,,
3,K3440-3460,Civil service. Government officials and employees,,
3,K3476-3560,Public property. Public restraint on private property,,
3,K3566-3578,Public health,,
3,K3581-(3598),Environmental law,,
3,K3601-3611,Medical legislation,,
3,K3615-3622,Veterinary laws. Veterinary medicine and hygiene. Prevention of cruelty to animals,,
3,K3625-3649,Food. Drugs. Cosmetics,,
3,K3651-3654,Alcohol. Alcoholic beverages,,
3,K3661-3674,Public safety,,
3,K3700-3705,Control of social activities,,
3,K3740-3762,Education,,
3,K3770-3795,Science and arts. Research,,
3,K3820-3836,"Economic constitution, policy, planning, and development",,
3,K3840-4375,"Regulation of industry, trade, and commerce. Occupational law",,
4,K3842-3862,Trade regulations. Control of trade practices,,
4,K3870-3918,Primary production. Extractive industries,,
4,K3921-3925,Manufacturing industries,,
4,K3926-3935,Food processing industries,,
4,K3941-3974,Trade and commerce,,
4,K3978-3992,Public utilities,,
4,K4011-4343,Transportation and communication,,
4,K4360-4375,Professions and occupations,,
3,K4430-4675,Public finance,,
4,K4453-4640,National revenue,,
4,K4650-4675,State and local finance,,
3,K4700-4705,"Government measures in time of war, national emergency, or economic crisis",,
3,K4720-4780,National defense. Military law,,
4,K4725-4734,The military establishment. Armed forces,,
4,K4740-4760,Military criminal law and procedure,,
3,K5000-5582,Criminal law and procedure,,
4,K5015.4-5350,Criminal law,,
4,K5401-5570,Criminal procedure,,
4,K5575-5582,Juvenile criminal law and procedure,,
2,K7000-7720,Private international law. Conflict of laws,,
3,K7051-7054,"International unification, approximation, and harmonization",,
3,K7060-7081,Choice of law,,
3,K7085,Retroactive law. Intertemporal law,,
3,K7090,Juristic acts,,
3,K7120-7197,Persons,,
4,K7125-7140,Natural persons,,
4,K7145-7148,Juristic persons. Associations,,
4,K7155-7197,Domestic relations. Family law,,
5,K7157-7179,Marriage. Husband and wife,,
5,K7181-7197,Parent and child. Guardian and ward,,
3,K7200-7218,Property,,
3,K7222,Trust and trustees,,
3,K7230-7245,Succession upon death,,
3,K7260-7338,Obligations,,
4,K7265-7305,Contracts,,
4,K7310,Restitution. Quasi contracts. Unjust enrichment,,
4,K7315-7338,Torts,,
3,K7340-7512,Commercial law,,
4,K7350-7444,Commercial contracts,,
4,K7449-7460,Maritime law,,
4,K7470,Insurance,,
4,K7485-7495,Business associations. Business corporations,,
4,K7510-7512,Insolvency and bankruptcy. Creditors' rights,,
3,K7550-7582,Intellectual property,,
4,K7555-7557,Copyright,,
4,K7570-7582,Industrial property,,
3,K7585-7595,Social legislation,,
3,K7611-7688,Civil procedure. International civil procedure,,
3,K7690,Arbitration and award,,
3,K7720,Recognition of foreign administrative acts,,
1,KB1-4855,Religious law in general. Comparative religious law. Jurisprudence,,
2,KB2-4,Bibliography,,
2,KB7-68,Periodicals,,
2,KB68,Annuals. Annuaires,,
2,KB70.A-Z,"Monographic series. By title, A-Z",,
2,KB73,Collections. Compilations (General and comprehensive),,
2,KB74-78,Auxiliary sciences,,
2,KB90.A-Z,"Encyclopedias. Law dictionaries. Terms and phrases. Vocabularies. By author or title, A-Z",,
2,KB100.A-Z,"Proverbia. Legal maxims. Brocardica juris. Regulae juris. By author or title, A-Z",,
2,KB122,Biography (Collective),,
2,KB130,Legal research. Legal bibliography. Methods of bibliographic research,,
2,KB150,Conferences. Symposia,,
2,KB160,General works. Treatises,,
2,KB162-250,Legal systems compared,,
2,KB270-280,"Theory, philosophy, and science of religious law",,
2,KB400-4855,Interdisciplinary discussion of subjects,,
3,KB400,Ritual law. Religious observances and rituals,,
3,KB410,Law reform and policies. Criticism,,
3,KB479,Private law (General),,
3,KB480-482,Private international law. Conflict of laws,,
3,KB491,Civil law (General),,
3,KB524-530,Persons,,
3,KB531-619,Domestic relations. Family law,,
3,KB622-628.5,Guardianship. Guardian and ward,,
3,KB632-636.2,Inheritance and succession,,
3,KB636.3,Gifts. Charitable gifts. Donations,,
3,KB640-726,Property. Res in commercio,,
3,KB810-962.8,Obligations. Contracts and transactions,,
3,KB1270-1278,Labor laws and legislation,,
3,KB1468-1550,Social laws and legislation. Welfare. Charities,,
3,KB1572-1690,Courts and procedure,,
3,KB2000-2035,Public law. The State,,
3,KB2101-2862,Constitutions and religion. Constitutional and administrative law,,
3,KB2870,"Civil service. Employees of state, communal agencies, and religious corporations",,
3,KB3000-3034,Police and public safety,,
3,KB3040.5-3056,Public property. Government property,,
3,KB3075-3096.5,Public health,,
3,KB3098-3121.7,Medical legislation,,
3,KB3122,Veterinary medicine and hygiene. Veterinary public health KB3123-3123.5 Animal protection. Animal welfare. Animal rights,,
3,KB3124-3125,Birth control. Family planning,,
3,KB3127-3135,Environmental law,,
3,KB3137-3183,Cultural affairs,,
3,KB3190-3429,Economic law,,
3,KB3440-3500.7,Transportation and communication,,
3,KB3515-3522,Professions. Intelligentsia,,
3,KB3526-3694,Public finance,,
3,KB3709-3726,"Government measures in time of war, national emergency, or economic crisis",,
3,KB3735-3780,Military law,,
3,KB3790-4855,Criminal law and procedure,,
1,KBM1-4855,Jewish law. Halakah,,
3,KBM523.6,Even ha-ezer law (General),,
3,KBM523.72,Hoshen mishpat law (General),,
2,KBM523.8-4855,Mishpat Ivri,,
3,KBM523.8,Bibliography,,
3,KBM523.82,Monographic series,,
3,KBM523.9,Legal education. Study and teaching,,
3,KBM524,General works,,
3,KBM524.12-524.26,The concept of Jewish law,,
3,KBM524.3,Sources of Jewish law (Mishpat Ivri),,
3,KBM524.32-.34,Methodology of law development,,
3,KBM524.36,Influence of other legal systems on Jewish law,,
3,KBM524.38,Law reform and policies. Criticism,,
3,KBM524.4.A-Z,"Concepts applying to several branches of the law, A-Z",,
3,KBM524.42,Private law,,
3,KBM524.43,Conflict of laws. Plurality of laws conflict,,
3,KBM524.5,Assistance in emergencies,,
3,KBM524.6-530,Persons,,
3,KBM531-619,Domestic relations. Family law,,
3,KBM622-628.5,Guardian and ward. Apotropos,,
3,KBM632-636.2,Inheritance and succession,,
3,KBM636.3,Gifts. Charitable gifts. Donations,,
3,KBM639-1424,Dinei mamonot,,
3,KBM1468-1547,Social laws and legislation,,
3,KBM1572-1942,Courts and procedure,,
3,KBM2000-2024,Public law. The state and the Jewish community. Kehillah,,
3,KBM2070-2614,Constitutional law. Constitutional principles of the Jewish community,,
3,KBM2711-2840,Administrative law and process of communal agencies,,
3,KBM2970,Civil service. Employees of communal agencies,,
3,KBM3000-3036.5,Police and public safety,,
3,KBM3040.5-3073,Public property. Communal property. Restraints on private property,,
3,KBM3075-3097,Public health,,
3,KBM3098-3122,Medical legislation,,
3,KBM3124-3125,Birth control. Family planning,,
3,KBM3127-3134,Environmental law,,
3,KBM3137-3183,Cultural affairs,,
3,KBM3190-3436,Economic law,,
3,KBM3440-3504.5,Transportation and communication,,
3,KBM3515-3519,Professions,,
3,KBM3526-3695,Public finance,,
3,KBM3709-3729,"Measures in time of war, national emergency, or economic crisis",,
3,KBM3738-3785,Community defense. Military law,,
3,KBM3790-4855,Criminal law and procedure,,
1,KBP1-4860,Islamic law. Sharah. Fiqh,,
2,KBP2.2-8,Bibliography,,
2,KBP9.5,Monographic series,,
2,KBP10-14.5,Societies. Associations,,
2,KBP15,Congresses. Conferences,,
2,KBP18,Academies. Institutes,,
2,KBP40,Encyclopedias. Dictionaries,,
2,KBP40.2,Maxims. Quotations,,
2,KBP40.5,Directories,,
2,KBP41,Legal research,,
2,KBP42-43,Legal education. Study and teaching,,
2,KBP50-69,"History, development and application of Islamic law",,
2,KBP70-75.4,Biography,,
2,KBP100-136.8,Sources,,
2,KBP144,General works,,
2,KBP173.25-.6,Islamic law and other disciplines or subjects,,
2,KBP174-190.5,Observances and practice of Islam,,
2,KBP250-420,Schools of thought. Islamic legal schools. Madhhib,,
2,KBP425-466.3,Usl al-fiqh. Jurisprudence and theory of law. Science of legal reasoning,,
2,KBP469,Influence of other legal systems on Islamic law,,
2,KBP470,Law reform. Criticism. Tanzm,,
2,KBP480-485,Conflict of laws. Tanzu’ al-qawnn,,
2,KBP490-4860,Fur al-fiqh. Substantive law. Branches of law,,
3,KBP490.2-.95,General works. Treatises,,
3,KBP491-497.95,Particular genres,,
3,KBP500-509.8,General concepts,,
3,KBP524-638,Ahwl shakhsyah,,
3,KBP639-1154,Mumalt,,
3,KBP1155-1194,Intellectual and industrial property,,
3,KBP1234-1259,Unfair competition,,
3,KBP1270-1467,Labor laws and legislation,,
3,KBP1468-1569,Social laws and legislation,,
3,KBP1572-1942,Courts and procedure,,
3,KBP2000-2035,Public law. The state and Islam,,
3,KBP2101-2612,Constitution of the state. Constitutional law,,
3,KBP2730-2968,Government and administration. Siysah. Administrative process,,
3,KBP2970,Civil service. Employees of communal agencies,,
3,KBP3000-3037,Police and public safety,,
3,KBP3040.5-3072,Public property. Government property,,
3,KBP3075-3096.5,Public health,,
3,KBP3098-3121.5,Medical legislation,,
3,KBP3122,Veterinary medicine and hygiene. Veterinary public health,,
3,KBP3123-3123.5,Animal protection. Animal welfare. Animal rights,,
3,KBP3124-3125,Birth control. Family planning,,
3,KBP3127-3135,Environmental law,,
3,KBP3137-3183.3,Cultural affairs,,
3,KBP3190-3437,Economic law,,
3,KBP3440-3512,Transportation and communication,,
3,KBP3515-3521,Professions. Intelligentsia,,
3,KBP3526-3705,Public finance,,
3,KBP3709-3727,"Government measures in time of war, national emergency, or economic crisis",,
3,KBP3738-3785,Military law,,
3,KBP3790-4860,Criminal law and procedure,,
1,KBR2-4090,History of canon law,,
2,KBR2-19,Bibliography,,
2,KBR21,Annuals. Annuaires. Yearbooks,,
2,KBR22,Monographic series,,
2,KBR27-41.7,Official acts of the Holy See,,
2,KBR42-54.5,"Decisions of ecclesiastical tribunals and courts, and related materials",,
2,KBR56,Encyclopedias. Law dictionaries. Terms and phrases. Vocabularia,,
2,KBR64,Directories,,
2,KBR74-83,Auxiliary sciences,,
2,KBR100.A-Z,Proverbia. Legal maxims. Brocardica juris. Regulae juris,,
2,KBR105.A-Z,Formularies. Clauses and forms. Formularia,,
2,KBR122-124,Collective biography of canonists or jurists,,
2,KBR127-129.5,Trials,,
2,KBR130-132,Legal research. Legal bibliography. Methods of bibliographic research,,
2,KBR133-134,Legal education. Study and teaching,,
2,KBR136-148,"Societies. Associations. Academies, etc.",,
2,KBR150,Conferences. Symposia,,
2,KBR160,General works,,
2,KBR190-2154.5,Sources,,
2,KBR2155-2157,Canon law and other disciplines or subjects,,
2,KBR2160-2204.5,Canonical jurisprudence. Canonical science,,
2,KBR2205-2206.3,Influence of other legal systems on Canon law,,
2,KBR2207,Law reform and policies. Criticism,,
2,KBR2208.A-Z,"General concepts and principles, A-Z",,
2,KBR2224-2295,Ius ecclesiasticum privatum,,
2,KBR2310-3026,Constitution of the Church,,
2,KBR3040-3070,The teaching office of the church. Magisterium. De ecclesiae munere docendi,,
2,KBR3077-3165,Sacraments. Administration of sacraments. De sacramentis et administratione,,
2,KBR3180-3182,Sacramentals. Sacramentalia,,
2,KBR3184-3256,Other acts of divine worship. De ceteris actibus Cultus Divini,,
2,KBR3264-3280,Social work of the Church. Public welfare. Caritas,,
2,KBR3320-3460,Church property. Church economics and finance. Administration,,
2,KBR3500-3774,Penal (Criminal) law. De lege poenali,,
2,KBR3780-3983,Judiciary. Ecclesiastical courts and procedure. De processibus,,
2,KBR4000-4090,Church and state relationships. De relationibus inter ecclesiam et status. Ius publicum ecclesiae,,
1,KBU2-4820,Law of the Roman Catholic Church. The Holy See,,
2,KBU2-19,Bibliography,,
2,KBU21,Annuals. Annuaires. Yearbooks,,
2,KBU22,Monographic series,,
2,KBU25-26,Official gazette of the Holy See,,
2,KBU26.8-41.5,Official acts of the Holy See,,
2,KBU42-54.5,"Decisions of ecclesiastical tribunals and courts, and related materials",,
2,KBU56,Encyclopedias,,
2,KBU56.5,Dictionaries. Terms and phrases. Vocabularies,,
2,KBU64,Directories,,
2,KBU102,Form books. Clauses and forms,,
2,KBU127-129.5,Trials,,
2,KBU130-132,Legal research. Legal bibliography. Methods of bibliographic research,,
2,KBU133,Legal education. Study and teaching,,
2,KBU136-148,"Societies. Associations. Academies, etc.",,
2,KBU149,Academies. Institutes,,
2,KBU150,Conferences. Symposia,,
2,KBU160,General works,,
2,KBU180.A-Z,"Works on diverse aspects of a particular subject and falling within several branches of the law. By subject, A-Z",,
2,KBU195-1565,Collections. Compilations. Selections,,
2,KBU2155-2157,Canon law and other disciplines or subjects,,
2,KBU2160-2204,Canonical jurisprudence. Theory and science of canon law,,
2,KBU2205-2206,Influence of other legal systems on canon law,,
2,KBU2207,Law reform and policies. Criticism,,
2,KBU2208.A-Z,"Concepts applying to several branches of the law, A-Z",,
2,KBU2210-2212,The codes of canon law,,
2,KBU2215-2308,General norms and principles. De normis generalibus,,
2,KBU2310-3026,Constitution of the Church,,
2,KBU3040-3070,The teaching office of the Church. Magisterium. De ecclesiae munere docendi,,
2,KBU3075-3165,Sacraments. Administration of sacraments. De sacramentis et administratione,,
2,KBU3180-3182,Sacramentals. Sacramentalia,,
2,KBU3184-3256,Other acts of divine worship. De ceteris actibus Cultus Divini,,
2,KBU3264-3280,Social work of the Church. Public welfare. Caritas,,
2,KBU3282-3310,Medical ethics and legislation. Church policy,,
2,KBU3320-3460,Church property. Church economics and finance,,
2,KBU3500-3774,Sanctions in the Church. Criminal law. De sanctionibus in Ecclesia. De lege poenali,,
2,KBU3780-3985,Courts and procedure. De processibus,,
2,KBU4000-4097,Church and state relationships. De relationibus inter ecclesiam et status. Ius publicum ecclesiae,,
2,KBU4112-4820,Local Church government,,
1,KD,Law of the United Kingdom and Ireland,,
2,KD51-9500,England and Wales,,
2,KD8850-9312,Local laws of England,,
2,KD9320-9355,Local laws of Wales,,
2,KD9400-9500,Wales,,
2,KDC51-990,Scotland,,
2,KDE21-580,Northern Ireland,,
2,KDG26-540,Isle of Man. Channel Islands,,
2,KDK21-1950,Ireland (Eire),,
1,KDZ1-4999,America. North America,,
2,KDZ1101-1199,Organization of American States (OAS),,
2,KDZ2001-2499.2,Bermuda,,
2,KDZ3001-3499,Greenland,,
2,KDZ4001-4499,St. Pierre and Miquelon,,
1,KE,Law of Canada,,
2,KE1-9450,Federal law. Common and collective provincial law,,
2,IndividualProvincesAndTerritories,Individual provinces and territories,,
3,KEA1-599,Alberta,,
3,KEB1-599,British Columbia,,
3,KEM1-599,Manitoba,,
3,KEN1-599,New Brunswick,,
3,KEN1201-1799,Newfoundland,,
3,KEN5401-5999,Northwest Territories,,
3,KEN7401-7999,Nova Scotia,,
3,KEO1-1199,Ontario,,
3,KEP1-599,Prince Edward Island,,
3,KEQ1-1199,Quebec,,
3,KES1-599,Saskatchewan,,
3,KEY1-599,Yukon Territory,,
2,KEZ1-9999,"Individual cities, A-Z",,
1,KF,Law of the United States,,
2,KF1-9827,Federal law. Common and collective state law,,
2,IndividualStates,Individual states,,
3,KFA1-599,Alabama,,
3,KFA1201-1799,Alaska,,
3,KFA2401-2999,Arizona,,
3,KFA3601-4199,Arkansas,,
3,KFC1-1199,California,,
3,KFC1801-2399,Colorado,,
3,KFC3601-4199,Connecticut,,
3,KFD1-599,Delaware,,
3,KFD1201-1799,District of Columbia,,
3,KFF1-599,Florida,,
3,KFG1-599,Georgia,,
3,KFH1-599,Hawaii,,
3,KFI1-599,Idaho,,
3,KFI1201-1799,Illinois,,
3,KFI3001-3599,Indiana,,
3,KFI4201-4799,Iowa,,
3,KFK1-599,Kansas,,
3,KFK1201-1799,Kentucky,,
3,KFL1-599,Louisiana,,
3,KFM1-599,Maine,,
3,KFM1201-1799,Maryland,,
3,KFM2401-2999,Massachusetts,,
3,KFM4201-4799,Michigan,,
3,KFM5401-5999,Minnesota,,
3,KFM6601-7199,Mississippi,,
3,KFM7801-8399,Missouri,,
3,KFM9001-9599,Montana,,
3,KFN1-599,Nebraska,,
3,KFN601-1199,Nevada,,
3,KFN1201-1799,New Hampshire,,
3,KFN1801-2399,New Jersey,,
3,KFN3601-4199,New Mexico,,
3,KFN5001-6199,New York,,
3,KFN7401-7999,North Carolina,,
3,KFN8601-9199,North Dakota,,
3,KFO1-599,Ohio,,
3,KFO1201-1799,Oklahoma,,
3,KFO2401-2999,Oregon,,
3,KFP1-599,Pennsylvania,,
3,KFR1-599,Rhode Island,,
3,KFS1801-2399,South Carolina,,
3,KFS3001-3599,South Dakota,,
3,KFT1-599,Tennessee,,
3,KFT1201-1799,Texas,,
3,KFU1-599,Utah,,
3,KFV1-599,Vermont,,
3,KFV2401-2999,Virginia,,
3,KFW1-599,Washington,,
3,KFW1201-1799,West Virginia,,
3,KFW2401-2999,Wisconsin,,
3,KFW4201-4799,Wyoming,,
2,KFX1-9999,"Individual cities, A-Z",,
2,KFZ1801-2399,Northwest Territory,,
2,KFZ8601-9199,Confederate States of America,,
1,KG1-999,Latin America (General),,
1,KG3001-3999,Mexico and Central America (General),,
2,KGA1-9000,Belize,,
2,KGB1-9000,Costa Rica,,
2,KGC1-9800,El Salvador,,
2,KGD1-9990,Guatemala,,
2,KGE1-9990,Honduras,,
2,KGF1-9900,Mexico,,
2,KGG1-9800,Nicaragua,,
2,KGH1-8000,Panama,,
2,KGH9001-9499,Panama Canal Zone,,
1,WestIndiesCaribbeanArea,West Indies. Caribbean area,,
2,KGJ1-999,General,,
2,KGJ7001-7499,Anguilla,,
2,KGK1-499,Antigua and Barbuda,,
2,KGK1001-1499,Aruba,,
2,KGL1-499,Bahamas,,
2,KGL1001-1499,Barbados,,
2,KGL2001-2499,Bonaire,,
2,KGL3001-3499,British Leeward Islands,,
2,KGL4001-4499,British Virgin Islands,,
2,KGL5001-5999,British West Indies,,
2,KGL6001-6499,British Windward Islands,,
2,KGM1-499,Cayman Islands,,
2,KGN1-9800,Cuba,,
2,KGP1-499,Curaçao,,
2,KGP2001-2499,Dominica,,
2,KGQ1-9800,Dominican Republic,,
2,KGR1-499,Dutch Leeward Islands (General),,
2,KGR1001-1499,Dutch West Indies (Netherlands Antilles),,
2,KGR2001-2499,Dutch Windward Islands (General),,
2,KGR3001-3499,French West Indies (General),,
2,KGR4001-4499,Grenada,,
2,KGR5001-5499,Guadeloupe,,
2,KGS1-9000,Haiti,,
2,KGT1-499,Jamaica,,
2,KGT1001-1499,Martinique,,
2,KGT2001-2499,Montserrat,,
2,KGU1-499,Navassa Islands,,
2,KGV1-8200,Puerto Rico,,
2,KGW1-499,Saba,,
2,KGW2001-2499,"Saint Christopher (Saint Kitts), Nevis, and Anguilla",,
2,KGW3001-3499,Saint Lucia,,
2,KGW5001-5499,Saint Vincent and the Grenadines,,
2,KGW7001-7499,Sint Eustatius,,
2,KGW8001-8499,Sint Maarten,,
2,KGX1-499,Trinidad and Tobago,,
2,KGY1-499,Turks and Caicos Islands,,
2,KGZ1-499,Virgin Islands of the United States,,
1,KH1-999,South America (General),,
2,KHA1-9800,Argentina,,
2,KHC1-8200,Bolivia,,
2,KHD1-9900,Brazil,,
2,KHF1-9800,Chile,,
2,KHH1-9900,Colombia,,
2,KHK1-9990,Ecuador,,
2,KHL1-9000,Falkland Islands,,
2,KHM1-9000,French Guiana,,
2,KHN1-9000,Guyana,,
2,KHP1-9700,Paraguay,,
2,KHQ1-9800,Peru,,
2,KHS1-9000,Surinam,,
2,KHU1-9800,Uruguay,,
2,KHW1-9900,Venezuela,,
1,KJ,Europe,,
2,KJ2-1040,History of Law,,
2,KJ160-1040,Germanic law,,
2,KJA2-3660,Roman law,,
2,KJC2-9799,Regional comparative and uniform law,,
2,KJE5-7975,Regional organization and integration. Comparative law,,
2,KJG1-4999,Albania,,
2,KJH1-499,Andorra,,
2,KJJ1-4999,Austria,,
2,KJK1-4999,Belgium,,
2,KJM1-4999,Bulgaria,,
2,KJN1-499,Cyprus,,
2,KJP1-4999,Czechoslovakia,,
2,KJR1-4999,Denmark,,
2,KJS1-4985,Estonia,,
2,KJT1-4999,Finland,,
2,France,France,,
3,KJV2-9158,National laws,,
3,KJW51-4360,"Individual regions, provinces, departments, etc.",,
3,KJW5201-9600,Individual cities,,
2,Germany,Germany,,
3,KK2-9799.3,Germany and West Germany,,
3,KKA7-9796,East Germany,,
3,KKB-KKC,"Individual states, provinces, and cities",,
2,KKE1-4999,Greece,,
2,KKF1-4999,Hungary,,
2,KKG1-499,Iceland,,
2,KKH1-4999,Italy,,
2,KKI1-4890,Latvia,,
2,KKJ1-499,Liechtenstein,,
2,KKJ501-9890,Lithuania,,
2,KKK1-499,Luxembourg,,
2,KKK1001-1499,Malta,,
2,KKL1-499,Monaco,,
2,KKM1-4999,Netherlands,,
2,KKN1-4999,Norway,,
2,KKP1-4999,Poland,,
2,KKQ1-4999,Portugal,,
2,KKR1-4999,Romania,,
2,KKS1-499,San Marino,,
2,KKT1-4999,Spain,,
2,KKV1-4999,Sweden,,
2,KKW1-4999,Switzerland,,
2,KKX1-4999,Turkey,,
2,KKY1-4999,Ukraine (1991- ),,
2,KKZ1-4999,Yugoslavia,,
1,AsiaAndEurasiaAfricaPacificAreaAndAntarctica,"Asia and Eurasia, Africa, Pacific Area, and Antarctica",,
2,KL2-5915,History of law. The ancient orient,,
3,KL2-135,General,,
3,KL147-177,Ancient legal systems compared,,
3,KL190-420,Sources,,
3,KL700-2215,Mesopotamia. Assyro-Babylonian law,,
3,KL1000-1299,Sumer,,
3,KL1600-1899,Assyria,,
3,KL2200-2499,Babylonia,,
3,KL2800-3099,Egypt,,
3,KL3500-3799,Elam,,
3,KL4110-4399,Greek law,,
3,KL4700-4999,Hittite law,,
3,KL5300-5599,Persia,,
3,KL5900-6199,Phoenicia,,
2,Eurasia,Eurasia,,
3,Turkey,Turkey,,see KKX
3,KLA1-9999,Russia. Soviet Union,,
3,KLB1-6499,"Russia (Federation, 1992- )",,
3,KLD1-490,Armenian S.S.R. (to 1991),,
3,KLE1-490,Azerbaijan,,
3,KLF1-490,Belarus (Republic),,
3,Estonia,Estonia,,see KJS
3,KLH1-490,Georgia (Republic),,
3,Latvia,Latvia,,see KKI
3,Lithuania,Lithuania,,see KKJ
3,KLM1-490,Moldova,,
3,KLN1-489,Russian S.F.S.R. (to 1991),,
3,KLP1-4989,Ukraine (1919-1991),,
3,KLP9001-9499,Zakavkazskaia Sotsialisticheskaia Federativnaia Sovetskaia Respublika (to 1936),,
