level,notation,prefLabel
3,1585 in,Iran
3,1585 ir,Irlande
3,1585 is,Israël
3,1585 it,Italie
3,1585 ja,Japon
3,1585 mc,Macédoine
3,1585 me,Mallorca (Majorque)
3,1585 mh,Mexique
3,1585 mo,Moravie
3,1585 no,Nouvelle-Zélande
3,1585 or,Orient
3,1585 pb,Pays-Bas (Hollande)
3,1585 pe,Perse
3,1585 pl,Pologne
3,1585 po,Portugal
3,1585 pu,Puglia
3,1585 ro,Roumanie
3,1585 rs,Russie
3,1585 rt,Russie (et Union soviétique)
3,1585 re,République Tchèque (et Tchécoslovaquie) 
3,1585 sc,Scandinavie
3,1585 sl,Slovénie
3,1585 so,Soudan
3,1585 su,Suisse
3,1585 st,Suède
3,1585 sy,Syrie
3,1585 tu,Turquie
3,1585 vi,Vietnam
3,1585 yo,Yougoslavie
3,1585 ec,Écosse 
2,1588,Personnes
0,2000,Moyen-Age
0,3000,Seizième Siècle
0,4000,Dix-Septième Siècle
0,5000,Dix-Huitième Siècle
0,6000,Dix-Neuvième Siècle
1,6100,Ouvrages de références
1,6200,Études générales et littéraires
1,6210 j,Littérature de jeunesse 
1,6210 p,Revues et la presse
1,6220 i,L'Histoire et les idées 
1,6220 p,Édition
1,6300,Thèmes et motifs
1,6400,La Langue et le vocabulaire
1,6500,Relations et influences
1,6700,Poésie
2,6710,Poème en prose
1,6800,Prose
2,6888,Genres de prose
3,6888 al,Almanach
3,6888 au,Autobiographie
3,6888 bi,Biographie
3,6888 cb,Conte
3,6888 cf,Conte de fées
3,6888 ct,Conte fantastique
3,6888 co,Correspondance
3,6888 es,Essai
3,6888 fo,Formes brèves
3,6888 hi,Historiographie
3,6888 jo,Journal intime
3,6888 le,Lettre
3,6888 li,Littérature personnelle
3,6888 ma,Manifeste
3,6888 me,Mémoires
3,6888 no,Nouvelle
3,6888 pb,Pamphlet
3,6888 ph,Physiologie
3,6888 po,Portrait
3,6888 pr,Préface
3,6888 rb,Roman
3,6888 rh,Roman historique
3,6888 rp,Roman populaire
3,6888 rv,Récits de voyage
2,6890,Thèmes et motifs
1,6900,Théâtre
2,6910,Acteurs et gens de théâtre - Généralités
2,6911,"Acteurs, actrices, gens de théâtre"
1,6950,Romantisme
2,6951,Bibliographie et références
2,6952,Études générales
2,6953,Groupe de Coppet
2,6954,Thèmes
2,6955,Influences et traduction
1,6960,Réalisme
1,6970,Naturalisme
1,6980,Symbolisme
2,6981,Relations et influences
1,6999,Auteurs et autrices
0,7000,Vingtième Siècle
0,8000,La Littérature d'aujourd'hui
0,9000,La Littérature française hors de France
