level,notation,prefLabel
3,318-01,"Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft, Wasserchemie, Integrierte Wasser-Ressourcen Bewirtschaftung"
0,4,Ingenieurwissenschaften
1,41,Maschinenbau und Produktionstechnik
2,401,Produktionstechnik
3,401-01,Spanende und abtragende Fertigungstechnik
3,401-02,"Ur- und Umformtechnik, Additive Fertigungsverfahren"
3,401-03,Fügetechnik und Trenntechnik
3,401-04,Kunststofftechnik
3,401-05,"Produktionssystematik, Betriebswissenschaften, Qualitätsmanagement und Fabrikplanung"
3,401-06,Produktionsautomatisierung
2,402,Mechanik und Konstruktiver Maschinenbau
3,402-01,"Konstruktion, Maschinenelemente, Produktentwicklung"
3,402-02,Mechanik
3,402-03,"Leichtbau, Textiltechnik"
3,402-04,Akustik
1,42,Wärmetechnik/Verfahrenstechnik
2,403,"Verfahrenstechnik, Technische Chemie"
3,403-01,Chemische und Thermische Verfahrenstechnik
3,403-02,Technische Chemie
3,403-03,Mechanische Verfahrenstechnik
3,403-04,Bioverfahrenstechnik
2,404,"Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik"
3,404-01,Energieverfahrenstechnik
3,404-02,Technische Thermodynamik
3,404-03,Strömungsmechanik
3,404-04,Strömungs- und Kolbenmaschinen
1,43,Materialwissenschaft und Werkstofftechnik
2,405,Werkstofftechnik
3,405-01,"Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen"
3,405-02,Materialien und Werkstoffe der Sinterprozesse und der generativen Fertigungsverfahren
3,405-03,Beschichtungs- und Oberflächentechnik
3,405-04,Mechanische Eigenschaften von metallischen Werkstoffen und ihre mikrostrukturellen Ursachen
3,405-05,Glas und Keramik und darauf basierende Verbundwerkstoffe
3,405-06,Polymere und biogene Werkstoffe und darauf basierende Verbundstoffe
2,406,Materialwissenschaft
3,406-01,Herstellung und Eigenschaften von Funktionsmaterialien
3,406-02,Biomaterialien
3,406-03,Thermodynamik und Kinetik sowie Eigenschaften der Phasen und Gefüge von Werkstoffen
3,406-04,Computergestütztes Werkstoffdesign und Simulation von Werkstoffverhalten von atomistischer bis mikroskopischer Skala
1,44,"Informatik, System- und Elektrotechnik"
2,407,Systemtechnik
3,407-01,"Automatisierungstechnik, Regelungssysteme, Robotik, Mechatronik, Cyber Physical Systems"
3,407-02,Messsysteme
3,407-03,Mikrosysteme
3,407-04,"Verkehrs- und Transportsysteme, Intelligenter und automatisierter Verkehr"
3,407-05,"Arbeitswissenschaft, Ergonomie, Mensch-Maschine-Systeme"
3,407-06,Biomedizinische Systemtechnik
2,408,Elektrotechnik und Informationstechnik
3,408-01,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme"
3,408-02,"Nachrichten- und Hochfrequenztechnik, Kommunikationstechnik und -netze, Theoretische Elektrotechnik"
3,408-03,"Elektrische Energieerzeugung, -übertragung, -verteilung und -anwendung"
2,409,Informatik
3,409-01,Theoretische Informatik
3,409-02,Softwaretechnik und Programmiersprachen
3,409-03,Sicherheit und Verlässlichkeit
3,409-04,"Betriebs-, Kommunikations-, Datenbank- und verteilte Systeme"
3,409-05,"Interaktive und intelligente Systeme, Bild- und Sprachverarbeitung, Computergraphik und Visualisierung"
3,409-06,"Informationssysteme, Prozess- und Wissensmanagement"
3,409-07,Rechnerarchitekturen und eingebettete Systeme
3,409-08,Massiv parallele und datenintensive Systeme
1,45,Bauwesen und Architektur
2,410,Bauwesen und Architektur
3,410-01,"Architektur, Bau- und Konstruktionsgeschichte, Bauforschung, Ressourcenökonomie im Bauwesen"
3,410-02,"Städtebau/Stadtentwicklung, Raumplanung, Verkehrs- und Infrastrukturplanung, Landschaftsplanung"
3,410-03,"Baustoffwissenschaften, Bauchemie, Bauphysik"
3,410-04,"Konstruktiver Ingenieurbau, Bauinformatik und Baubetrieb"
3,410-05,"Angewandte Mechanik, Statik und Dynamik"
3,410-06,"Geotechnik, Wasserbau"
