level,notation,prefLabel@de,prefLabel@en
3,102-03,"Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte)",Modern and Current History
3,102-04,Wissenschaftsgeschichte,History of Science
3,103-01,Kunstgeschichte,Art History
3,103-02,Musikwissenschaften,Musicology
3,103-03,Theater- und Medienwissenschaften,Theatre and Media Studies
3,104-01,"Allgemeine und Vergleichende Sprachwissenschaft, Typologie, Außereuropäische Sprachen","General and Comparative Linguistics, Typology, Non-European Languages"
3,104-02,Einzelsprachwissenschaften,Individual Linguistics
3,104-03,Historische Linguistik,Historical Linguistics
3,104-04,"Angewandte Sprachwissenschaften, Experimentelle Linguistik, Computerlinguistik","Applied Linguistics, Experimental Linguistics, Computational Linguistics"
3,105-01,"Ältere deutsche Literatur",Medieval German Literature
3,105-02,Neuere deutsche Literatur,Modern German Literature
3,105-03,Europäische und Amerikanische Literaturen,European and American Literature
3,105-04,Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft,General and Comparative Literature and Cultural Studies
3,106-01,Ethnologie und Europäische Ethnologie,Social and Cultural Anthropology and Ethnology 
3,106-02,Asienbezogene Wissenschaften,Asian Studies
3,106-03,"Afrika-, Amerika- und Ozeanienbezogene Wissenschaften","African, American and Oceania Studies "
3,106-04,"Islamwissenschaften, Arabistik, Semitistik","Islamic Studies, Arabian Studies, Semitic Studies"
3,106-05,Religionswissenschaft und Judaistik,Religious Studies and Jewish Studies
3,107-01,Evangelische Theologie,Protestant Theology
3,107-02,Katholische Theologie,Roman Catholic Theology
3,108-01,Geschichte der Philosophie,History of Philosophy
3,108-02,Theoretische Philosophie,Theoretical Philosophy
3,108-03,Praktische Philosophie,Practical Philosophy
3,109-01,Allgemeine und Historische Erziehungswissenschaft,General Education and History of Education
3,109-02,Allgemeines und fachbezogenes Lehren und Lernen,General and Domain-Specific Teaching and Learning
3,109-03,Bildungssysteme und Bildungsinstitutionen,Education Systems and Educational Institutions
3,109-04,Erziehungswissenschaftliche Sozialisations- und Professionalitätsforschung,"Educational Research on Socialisation, Welfare and Professionalism Research"
3,110-01,"Allgemeine, Kognitive und Mathematische Psychologie","General, Cognitive and Mathematical Psychology"
3,110-02,Biologische Psychologie und Kognitive Neurowissenschaften,Biological Psychology and Cognitive Neuroscience
3,110-03,Entwicklungspsychologie und Pädagogische Psychologie,Developmental and Educational Psychology
3,110-04,Sozialpsychologie und Arbeits- und Organisationspsychologie,"Social Psychology, Industrial and Organisational Psychology"
3,110-05,"Differentielle, Klinische und Medizinische Psychologie, Methoden","Differential, Clinical and Medical Psychology, Methodology"
3,111-01,Soziologische Theorie,Sociological Theory
3,111-02,Empirische Sozialforschung,Empirical Social Research
3,111-03,Publizistik und Kommunikationswissenschaft,Communication Sciences
3,111-04,Politikwissenschaft,Political Science
3,112-01,Wirtschaftstheorie,Economic Theory
3,112-02,"Wirtschaftspolitik, Angewandte Volkswirtschaftlehre","Economic Policy, Applied Economics"
3,112-03,Betriebswirtschaftslehre,Business Administration
3,112-04,"Statistik und Ökonometrie",Statistics and Econometrics
3,112-05,Wirtschafts- und Sozialgeschichte,Economic and Social History
3,113-01,Grundlagen des Rechts und der Rechtswissenschaft,Principles of Law and Jurisprudence
3,113-02,Privatrecht,Private Law
3,113-03,"Öffentliches Recht",Public Law
3,113-04,Strafrecht,Criminal Law
3,113-05,Kriminologie,Criminology
3,201-01,Biochemie,Biochemistry
3,201-02,Biophysik,Biophysics
3,201-03,Zellbiologie,Cell Biology
3,201-04,Strukturbiologie,Structural Biology
3,201-05,Allgemeine Genetik und funktionelle Genomforschung,General Genetics and Functional Genome Biology
3,201-06,Entwicklungsbiologie,Developmental Biology
3,201-07,Bioinformatik und Theoretische Biologie,Bioinformatics and Theoretical Biology
3,202-01,Evolution und Systematik der Pflanzen und Pilze,Evolution and Systematics of Plants and Fungi
3,202-02,"Ökologie und Biodiversität der Pflanzen und Ökosysteme",Ecology and Biodiversity of Plants and Ecosystems
3,202-03,"Organismische Interaktionen, chemische Ökologie und Mikrobiome pflanzlicher Systeme","Organismic Interactions, Chemical Ecology and Microbiomes of Plant Systems"
3,202-04,Pflanzenphysiologie,Plant Physiology
3,202-05,Biochemie und Biophysik der Pflanzen,Plant Biochemistry and Biophysics
3,202-06,Zell- und Entwicklungsbiologie der Pflanzen,Plant Cell and Developmental Biology
3,202-07,Genetik der Pflanzen,Plant Genetics
3,203-01,Systematik und Morphologie der Tiere,Systematics and Morphology (Zoology)
3,203-02,"Evolution, Anthropologie","Evolution, Anthropology"
3,203-03,"Ökologie und Biodiversität der Tiere und Ökosysteme, Organismische Interaktionen","Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
3,203-04,Biologie des Verhaltens und der Sinne,Sensory and Behavioural Biology
3,203-05,Biochemie und Physiologie der Tiere,Animal Physiology and Biochemistry
3,203-06,Evolutionäre Zell- und Entwicklungsbiologie der Tiere,Evolutionary Cell and Developmental Biology (Zoology)
3,204-01,"Stoffwechselphysiologie, Biochemie und Genetik der Mikroorganismen","Metabolism, Biochemistry and Genetics of Microorganisms"
3,204-02,"Mikrobielle Ökologie und Angewandte Mikrobiologie",Microbial Ecology and Applied Microbiology
3,204-03,"Medizinische Mikrobiologie und Mykologie, Hygiene, Molekulare Infektionsbiologie","Medical Microbiology and Mycology, Hygiene, Molecular Infection Biology"
3,204-04,Virologie,Virology
3,204-05,Immunologie,Immunology
3,204-06,Parasitologie und Biologie der Erreger tropischer Infektionskrankheiten,Parasitology and Biology of Tropical Infectious Disease Pathogens
