level,notation,prefLabel
4,Pb 4,"Parapsychologie (Telepathie, Hellsehen, Magie, Okkultismus u. a.)"
3,Pc,Pädagogik
4,Pc 1,"Allgemeines, Einführungen, Nachschlagewerke, Zeitschriften"
4,Pc 2,Außerschulische Kinder- und Jugenderziehung
4,Pc 3,"Kinderkrippe, Kindergarten, Vorschulerziehung"
4,Pc 4,Schule und Hochschule
4,Pc 5,Sexualpädagogik
4,Pc 6,Religiöse Erziehung
4,Pc 7,Sonderpädagogik
4,Pc 8,Berufskunde und Berufserziehung
4,Pc 9,Erwachsenenbildung
4,Pc 10,"Einzelfragen, weitere Richtungen (Sozialpädagogik, Freizeitpädagogik, Medienpädagogik)"
2,R,"Rund um Hobby, Haus und Garten, Sport und Spiel"
3,Ra,Praktische Ratgeber
4,Ra 1,Haus und Garten
4,Ra 2,Kochen und Backen
4,Ra 3,Haustierhaltung
4,Ra 4,Sonstiges
3,Rb,Sport
3,Rc,Spiele
3,Rd,"Basteln, Handarbeiten, Werken, Kunsthandwerk"
3,Re,Sonstige Freizeitbeschäftigungen
2,S,"Sozialwissenschaften (Staat, Politik, Recht, Wirtschaft)"
3,Sa,"Staat, Politik"
3,Sb,"Soziologie, gesellschaftliche Gruppen, soziale Fragen"
3,Sc,"Recht, Kriminologie"
3,Sd,"Wirtschafts- und Finanzwesen, Arbeitswelt"
3,Se,Zeitkritik und Zukunftsfragen
2,T,Technik
3,Ta,"Allgemeines, themenübergreifende Nachschlagewerke, Zeitschriften, Sammelbände"
3,Tb,Einzelne Gebiete der Technik
4,Tb 1,"Technische Geräte und Systeme (Radio, Fernsehen, Film, Foto)"
4,Tb 2,"Produktionstechnik (Industrie, Handwerk), Bauwesen"
4,Tb 3,"Verkehrstechnik (Straßenverkehr, Eisenbahn, Schifffahrt, Luftfahrt)"
4,Tb 4,"Raumfahrt, Weltraumtechnik"
4,Tb 5,"Computertechnik, Elektronik"
4,Tb 6,Technik der Energiegewinnung
4,Tb 7,Umwelttechnik
4,Tb 8,"Mikrotechnik, Nanotechnik"
3,Tz,Verschiedenes
1,1.2,Erzählende Literatur
2,,"Romane, Erzählungen, Dramen, Lyrik"
0,2,Medien für Kinder und Jugendliche
1,2.1,Sachliteratur
2,Ja,"Allgemeines, allgemeine Nachschlagewerke"
2,Jb,"Biographien, Briefe, Tagebücher"
2,Jc,"Christlicher Glaube, Religionen, religiöse Weltanschauungen"
2,Je,"Erd-, Länder- und Völkerkunde, Reisen"
2,Jf,"Familie, Lebensfragen"
2,Jg,"Geschichte (einschl. Kulturgeschichte), Zeitgeschichte"
2,Jk,"Kunst, Bildende"
2,Jl,"Literaturkunde, Sprache"
2,Jm,"Musik, Theater, Film, Hörfunk, Fernsehen"
2,Jn,"Naturwissenschaften, Medizin, Mathematik"
2,Jp,"Philosophie, Psychologie, Pädagogik"
2,Jr,"Rund um Hobby, Haus und Garten, Sport und Spiel"
2,Js,"Sozialwissenschaften (Staat, Politik, Recht, Wirtschaft)"
2,Jt,Technik
1,2.2,Erzählende Literatur
2,Jm 1,Bilderbücher (einschl. Märchen- u. Sachbilderbücher)
2,Jm 2,Märchen
2,Jm 3,"Sagen, Fabeln, Schwänke, Legenden"
2,Ju 1,Erzählungen (6-8 Jahre)
2,Ju 2,Erzählungen (9-12 Jahre)
2,Ju 3,Erzählungen (ab 13 Jahre)
